bag_id,grinder,brewer,grind_level,coffee_g,water_g,brew_g,temp,time_s,rating,notes
7,Niche Zero,Rancilio Silvia,8,18.0,,40.0,,25,3,"A little above average for home-made espresso, but nowhere near the quality of some cafes like Mast. Tastes burnt and slightly bitter, no freshness (likely bc beans have been sitting for a while). 
For reference, my best home espresso would likely score 85-90.

Added milk bc I’m a latte girly~ "
6,Kingrinder K6,Aeropress,65,18.0,260.2,,98,510,3,"Thought I would dislike it, but I actually still really like it. It’s not as good as some light roasts I’ve tried recently (Ethiopia and Guatemala come to mind) but not bad for a dark roast!"
6,Kingrinder K6,V60,90,20.0,301.0,,85,220,3,
5,Timemore C2,Aeropress,12,18.0,261.6,,99,510,1,"Used to be a favorite, now it just tastes burnt. Oof."
5,Kingrinder K6,V60,90,20.0,302.0,,85,260,2,Better than last time but still tastes too roasted for me
13,Niche Zero,Rancilio Silvia,8,18.0,,40.0,,39,3,Maybe not a big fan of dark roasts anymore
1,Niche Zero,Rancilio Silvia,11,18.0,,40.0,,39,3,Made a cortado!
1,Timemore C2,Aeropress,12,18.1,262.0,,99,600,4,"Not as good as my first brew, but still low acidity despite light roast"
1,Timemore C2,Aeropress,12,18.0,261.7,,99,480,5,"Really good cup. It’s got strong floral accents, almost like tea, while not being overbearing or acidic like other light roasts"
1,Kingrinder K6,V60,80,20.0,300.7,,95,240,4,"Not as flavorful as the Aeropress, but maybe cleaner? Still tastes really good."
1,Kingrinder K6,Aeropress,65,18.1,261.3,,99,510,4,Didn’t notice as much flavor today
1,Kingrinder K6,V60,75,20.0,300.4,,100,220,,n/a (forgot to write notes)
1,Kingrinder K6,V60,90,20.0,300.9,,100,258,2,Also tried a minute bloom. Less flavor than grind @ 75
1,Kingrinder K6,V60,80,20.5,303.0,,100,220,5,Goddamn. Maybe will try again once toothpaste runs out but so good.
1,Kingrinder K6,V60,80,20.5,303.0,,93,220,2,Wow. I can’t believe how… astringent? Sour? This brew is. Definitely stick to higher brew temps.
1,Kingrinder K6,Aeropress,65,18.0,260.0,,99,510,,
1,Kingrinder K6,Aeropress,65,18.0,260.0,,99,510,4,
2,Kingrinder K6,Aeropress,65,18.0,261.1,,99,510,3,"Much better than I remember. More acidic than my preference, but really nice mouthfeel, with some citrus tones?"
2,Timemore C2,Aeropress,12,18.3,268.3,,99,510,2,"Too many earthy tones. Slightly too acidic/sour for me. I can see why some like it, but not really for me"
2,Kingrinder K6,V60,80,20.0,300.0,,100,210,3,
2,Kingrinder K6,V60,80,20.0,300.0,,97,180,3,
2,Kingrinder K6,V60,85,20.0,311.0,,97,174,3,More sour
2,Kingrinder K6,V60,80,20.0,300.0,,93,170,4,Lower temperature definitely helps medium roasts. Will have to try more
2,Kingrinder K6,V60,80,20.0,303.0,,93,180,3,
2,Kingrinder K6,Aeropress,65,18.0,260.0,,99,510,,
2,Kingrinder K6,Aeropress,65,18.0,260.0,,99,510,1,
2,Kingrinder K6,V60,85,20.0,300.0,,93,210,,
6,Kingrinder K6,Aeropress,65,18.0,260.0,,99,510,,
4,Timemore C2,Aeropress,12,18.0,268.0,,99,490,3,
4,Timemore C2,Aeropress,13,18.0,263.4,,99,,3,"More sour, “earthy”, than Ehtiopia. Generally am not a fan of earthy tones. It did taste better when cupped properly, but for drinking? Eh"
4,Timemore C2,Aeropress,12,17.9,258.0,,99,510,3,"Not too sour, not too bitter (I think). Will have to add more flavor notes when it cools"
4,Timemore C2,Aeropress,12,18.1,270.0,,99,530,3,
4,Kingrinder K6,V60,80,20.0,300.0,,97,180,1,Not a fan of this bean lol
4,Kingrinder K6,V60,80,20.0,300.5,,93,210,3,Much better than normal! I think the lower temp helps
4,Kingrinder K6,V60,80,20.0,300.0,,93,220,3,
4,Kingrinder K6,V60,85,20.0,300.0,,93,210,3,
3,Kingrinder K6,Aeropress,65,18.0,263.2,,99,510,2,"Earthy tones, nutty;  Generally not my preferred type of light/medim roast. But it’s growing on me."
3,Timemore C2,Aeropress,12,18.0,268.1,,99,510,2,Tasted bitter
3,Timemore C2,Aeropress,12,18.1,270.0,,99,510,4,I’m liking Peru more overtime. What’s going on?
3,Kingrinder K6,V60,80,20.0,300.0,,97,180,3,
3,Kingrinder K6,V60,80,20.0,300.0,,93,180,3,Much better at lower temp
3,Kingrinder K6,V60,85,20.0,300.0,,93,210,3,
12,Kingrinder K6,V60,80,20.0,300.0,,98,150,4,At least a 90. The fruity notes certainly come through
12,Kingrinder K6,V60,75,20.0,300.0,,98,180,3,The notes didn’t come through has much as when ground at 80.
12,Kingrinder K6,V60,80,20.0,300.0,,98,180,5,"Returned to 80 on the K6, tastes just like the 12-19 brew! Definitely better than 12/20; wonder if it’ll be better at 75 and lower temp (maybe 93?) or espresso"
12,Niche Zero,Rancilio Silvia,12,18.0,,40.0,94,16,1,Extremely sour
12,Niche Zero,Rancilio Silvia,10,18.0,,40.0,94,20,2,Used manual tamp instead of regular; try Niche9 next time?
1,Niche Zero,Rancilio Silvia,12,18.0,,40.0,94,31,3,"Better, but beans taste underdeveloped. Should wait a bit longer."
